,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity,lyrics
75,Massive,"Honestly, Nevermind",2022,0.499,0.114,0.671,0.0169,0.148,-6.774,0.0561,124.994,0.0557,73,"[Verse 1]I've been alone in my thoughtsCan't fill this void between usI cannot stand losin' you, woah, woahAll these feelings intertwined, ohFighting the urge to reach outAnd my stance remains unchanged, babyI can't help it, I'm so into you[Chorus]Oh, when you're readyWe can put this behind usBaby, we can find us again, I knowPut this behind usWe can find us again'Cause I don't wanna goI was alone, I was alone in this worldAnd I needed peopleI know my funeral gon' be lit 'cause of how I treated peopleI don't wanna go, I don't wanna[Verse 2]Swervin' between emotionsI know we got real issuesCan't give in so еasily, woah, woahWoah, woah, woah, woahAin't going out with no fight, noI'm just tryna play my part, yeahI'm not ready to let go, woah, woah"
76,Flight's Booked,"Honestly, Nevermind",2022,0.593,0.886,0.41,0.0993,0.115,-13.097,0.0531,122.584,0.201,68,
77,Overdrive,"Honestly, Nevermind",2022,0.502,0.444,0.645,0.00964,0.107,-10.611,0.122,109.739,0.518,61,"[Verse 1]Hold the line, we ain't doneDon't give up this divine bond between usThe tide is high, nothing's lostCould turn over a new leaf, for my love, ohA broken frame, and I knowIt's pictures of jealousyYou don't believe meWhen I show you oftenWe're sacrificing some timeWhy all this in overdriveWith you beside me, I become unraveledAnd you can see right through meNo, we can't go down like thisYou are afraid to be fully openThough you can see all my cardsMy hеart is in overdrive[Chorus]My heart is racingI cannot slow down and it's bothеring meHow forward of me would it be to tell you to forward to meYou should be right here anywaysYour energy's calling for meThere's deeper places we can goDon't have to just party with meI hope we can make itI hope we can make itI hope we can make it, oh, ohI hope we can make itI hope we can make itI hope we can make it, oh"
78,Down Hill,"Honestly, Nevermind",2022,0.718,0.965,0.319,0.00036,0.0895,-11.261,0.0435,109.994,0.639,57,"[Verse 1: Drake]Baby, I think it might be too late, we're too far goneChemistry's frozen, we feel disconnected and exposedI can't remember, when last did we feel familiar?Tell me you're ready, tell me you're ready to walk away[Chorus: Drake]OvernightOvernight, we're doneOvernightOvernightOvernight, we're doneOvernight[Post-Chorus: Beau Nox]We tri-tri-tried, tried, triedWe tri-tri-triеdWe tri-tri-tried, tried, triеdWe tri-tri-triedWe tri-tri-tried, tried, tried, tried, tried, triedTri-tri-tried[Verse 2: Drake]I used to wonder how you could swear it's for lifeConstant confusion, nearing conclusion, going downhillWe spent last summer, we spent last summer so differentlyI can't pretend, I can't pretend it was final"
79,Tie That Binds,"Honestly, Nevermind",2022,0.775,0.0176,0.688,0.0917,0.108,-10.912,0.0593,120.017,0.284,60,"[Intro]Oh, ohOh, ohOh, oh[Verse 1]Kill me slowly with those piercin' eyesDon't break my fallHidin' from those stars, foreign insideEvery timeI know you're hereI never felt so alive (Ooh, ooh, ooh)Slowly you're pullin' me 'cross the lineIn no time, in no time[Chorus]AyyOh, baby, I'm feelin' all sort of thingsI never wanna see you ever leaveMaybe I'll take you to my familyChange your nameOh, baby[Guitar Solo][Verse 2]With no doubt I'll give you all my timeAnd walk the lineYou bring out the best part of me, babeEffortlessly, effortlesslyHope you never dim the light (Ooh, ooh, ooh)Hold me close as you can 'til we're ghostIt's a promise, 'til we're ghost"
80,Liability,"Honestly, Nevermind",2022,0.557,0.268,0.706,0.0,0.132,-6.592,0.0649,105.013,0.582,62,"[Chorus]You get in my bed, you twist up my headI'm changing for you, changing for youYou get in my bed, you twist up my headI'm changing for you, changing for youYou die with the lieYou lie and a piece of me diesInside out, I pray, so much I can takeI'm here for the ride, your pride might be the reason whyWe don't even make it to see the daysWoah[Bridge]Woah, woah, woah, woah, woahWoah, woah, woah, woah, woah, woahNeeded you, wanted you to stay mine[Verse 1]Winter came, you left me 'round my favorite time, yeahWe been down this road, past this street a hundred timesClaimed you haven't eaten in daysDrinking your weight in champagneYou're too busy dancing in the club to our songsTurned up on my phone, changing your whole tonePlaying with my emotions, playing with my emotionsPlaying with my emotions, playing with my emotionsYou're too busy dancing in the club to our songsTurned up on my phone, playing with my emotionsPlaying with my emotions, playing with my emotionsPlaying with my emotions, playing with my emotionsPlaying with my"
81,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",2022,0.529,0.000307,0.673,2.41e-06,0.093,-4.711,0.175,165.921,0.366,90,"[Intro: Drake]Just awaken shaken once again, so you know it's onJust awaken shaken once again, ho, you know it's onJust awaken shaken once again, so you know it's onJust awaken shaken once again, ho, you know it's onYeah, lifeLife is the only thing we needThey need me to go, but I don't wanna leaveRest in peace to Lil Keed[Verse 1: Drake]Fuck a pigeonhole, I'm a night owl, this a different modeI might have to make her paint a 6 on her pinky toeHeard you with a shooting guard, just let a nigga knowI would have you courtside, not the middle rowAll good, love, in a minute, thoughI can't strеss about no bitch 'cause I'm a timid soulPlus I'm cookin' up ambition on a kitchen stovePot start to bubblе, see the suds, that shit good to goHoes say I'm suave, but I can't get RICO'dBro think he John Wayne, I bought him yellow stonesLove the way they hang, babe, fuck the siliconeEverybody fake now, you could crack the codeBustdown everything, set in rose goldDread talkin' to you niggas like I'm J. ColeI can tell her head good before I even knowBitch, don't tell me that you model if you ain't been in VogueGotta throw a party for my day onesThey ain't in the studio, but they'll lay somethin'Rest in peace to Drama King, we was straight stuntin'You don't like the way I talk? Nigga, say somethin'Gotta throw a party for my day onesPull up and you know it's us, the bass jumpin'You don't like the way I talk? Then say somethin'Get out my face, nigga"
82,Champagne Poetry,Certified Lover Boy,2021,0.423,0.758,0.667,0.0,0.246,-7.012,0.326,86.743,0.496,78,"[Part I][Intro]I love you, I love you, I love youUntil I, until II love you, I love you, I love youUntil I find aSay the only words I know that you'll[Verse 1]I been hot since the birth of my sonI remain unfazed, trust, worse has been doneMan, fuck a valuation, show me personal fundsIt's the pretty boys versus the petty boysSold that already, got a whole new set of toysShit is so surreal, Drizzy Drake, you better enjoy itNothing else bigger than the OVO letterman boysCashmere knits for the nighttime boat ridesOllie got the first еdition parked up roadsideThe only sign of strugglin' is coming from thosе guysI'm tryna just relay what I can see through my own eyesAnd nothin' tell the truth like the eyes willLived so much for others don't remember how I feelFriends in high places and friends that are high stillStill managed to moonwalk straight through a minefieldAnd then I'll come back to tell you how that feelsBuilt this house for us all, pain in my back stillYou niggas gassed up, you couldn't pay the"
83,Papi’s Home,Certified Lover Boy,2021,0.701,0.112,0.741,0.0,0.699,-6.157,0.313,140.177,0.588,70,
84,Girls Want Girls (with Lil Baby),Certified Lover Boy,2021,0.767,0.181,0.438,0.0,0.142,-8.726,0.29,86.975,0.381,79,"[Intro: Drake]Woah, woahWoah, woah, woahAyy[Chorus: Drake]Starin' at your dress 'cause it's see-throughYeah, talkin' all the shit that you done been throughYeah, say that you a lesbian, girl, me tooAyy, girls want girls where I'm fromWait, woah, yeah, girls want girlsWoah, yeah, woah, yeah, girls want girls where I'm fromOh, yeah, yeah, girls want girls whereAyy, woah, girls want girls where I'm from, ayy[Verse 1: Drake]Cannot play a player, babeI grew up with DrayafaceI done seen the realest ones come and leave a crazy wayHad to take my spot, it wasn't somethin' they just gave awaySorry to all my fans that might've caught me on a crazy dayFuck you niggas thinkin' tryna block me on a fadeaway?I've been on that shit, I only vibе with a paydaySay you go that way, I guess we both go the samе wayGirls want girls where I'm fromYeah, yeah, where we both fromAyy, and you just got to Miami, need hotel roomsNiggas told you that they love you, but they fell throughSo you shotting '42 'cause youAyy, and you throwin' on that dress 'cause it's see-throughYeah, talkin' all the shit that you done been throughYeah, textin' me and say, ""I need to see you"""
85,In The Bible (with Lil Durk & Giveon),Certified Lover Boy,2021,0.686,0.614,0.385,0.0,0.131,-8.35,0.297,143.07,0.147,69,"[Chorus: Drake]Okay, okay, okayCountin' up my bodies, damn, the thing just start to pileJudge me how you judge me, take them bitches out to trialFucked a hundred niggas, how them niggas love you now?You don't know love, you don't love me like my childLay your ass down, then that liquor get you fired upTurn up every day, girl, it don't say that in the BibleCan't give it up 'cause you love the lifestyle[Verse 1: Drake]Told the girls to meet at TaoNow y'all doin' shots, now them bitches got you fired upDon't know who you talking 'bout, I'll put that on the BibleTurnin' up on me, don't make me turn it back aroundAnd you knowThink I'm Tiger Woods, the way I'm teed off thе 17And you know pockets on whatever, jеans forever greenAnd you know, told me lotta things, but ain't say everythingBut now I know every single thing, there was plenty things I didn't knowPlenty things you didn't say, was fuckin' with you anywayWas fuckin' with you way before you had some confessions to makeYou decide to take it to the grave, I know you gon' take itAnd you know (And you know, and you know)[Chorus: Drake]Okay, okay, okayCountin' up my bodies, damn, the thing just start to pileJudge me how you judge me, take them bitches out to trialFucked a hundred niggas, how them niggas love you now?You don't know love, you don't love me like my childLay your ass down, then that liquor get you fired upTurn up every day, girl, it don't say that in the BibleCan't give it up 'cause you love the lifestyle"
86,Love All (with JAY-Z),Certified Lover Boy,2021,0.73,0.354,0.576,3.59e-05,0.15,-5.442,0.287,92.131,0.155,72,"[Intro]Previously on Ready To Die[Chorus: Drake]Never had a lot, this is all I needPeople never care 'til it's R.I.P. Niggas turned they back on me for no good reasonLoyalty is priceless and it's all I needCan't burn a bridge just to light my wayLotta '42 on the flights I'm takin'Pourin' out my soul and it might sound crazyLotta fallin' outs help me build foundationNever had a lot, this is all I needPeople never care 'til it's R.I.P. Niggas turned they back on me for no good reason[Verse 1: Drake]Never had a lot, this is all I needLost individuals is all I seeGrab the top spot like ""pardon my reach""Woke up one day and it was all on meIf it comes down, it's gon' fall on meLotta '42 on the flights I'm takin'Long way down from the heights I'm chasin'Just touched down, I was lights out in VegasGirls checkin' in 'cause my lifestyle dangerousHard to tell people that I'm all out of favorsCall me for songs or they call me for paperTurnin' off my phone for the night now, babyPourin' out my soul and it might sound crazySome of my niggas don't love meWe should sit down before shit turns uglyWe should sit down since you said things about me"
87,Fair Trade (with Travis Scott),Certified Lover Boy,2021,0.666,0.0503,0.465,0.0,0.215,-8.545,0.26,167.937,0.292,86,"[Intro: Drake & Charlotte Day Wilson]I don't understand why you blame meJust take me as I am, it's the same meWe should be (Yeah)Senseless sight to seeYeahSenseless sight to seeAyy[Verse 1: Drake]Feelin' young but they treat me like the OGAnd they want the tea on me, I swear these bitches noseySaid he put some money on my head, I guess we gon' seeI won't put no money on his head, my niggas owe meI gotta be single for a while, you can't control meUno, dos, tres, in a race, they can't hold meAnd I show my face in a case so you know it's meImitation isn't flattery, it's just annoyin' meAnd I'm too about itAnd the dirt that they threw on my nameTurned to soil and I grew up out itTime for y'all to figure out what y'all gon' do about itBig wheels keep rollin', rollin'[Chorus: Drake]I'm outside, twenty-nine, G5, seasideI've been losin' friends and findin' peaceBut honestly that sound like a fair trade to meIf I ever hurt one and I'm still hereOutside, frontline, SouthsideI've been losin' friends and findin' peaceHonestly that sound like a fair trade to me"
88,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,2021,0.803,0.000619,0.597,4.5e-06,0.323,-6.035,0.141,136.008,0.331,78,"[Intro: Right Said Fred]I'm too sexy for my shirtToo sexy for my shirtSo sexy, it hurtsI'm too sexy for MilanToo sexy for MilanNew York or Japan[Chorus: Future]Yeah, woah, woah, woahI'm too sexy for this syrupToo sexy for your girlToo sexy for this worldToo sexy for this iceToo sexy for that jack, yeah, yeahI'm too sexy for this chainToo sexy for your gangToo sexy for this fame, yeah, yeahI'm too sexy for the trapToo sexy for that capToo sexy for that jack, yeah, yeah[Verse 1: Drake]Okay, alright, that's fine, okay (Okay)I'm feelin' too sexy to accept requests (Way too sexy)And I'm way too sexy to go unprotected (Way too sexy)And she popped a Tesla, now she goin' electricOkay, alright, that's fine, okayThink we got too sexy for that metro housin' (Way too sexy)Diamond popped out, almost swallowed sixty thousand (Sixty piece)Section need more tings in here, I like it crowded, ayy (Woah, woah)Yeah, I like it crowdedOh, you like the boy? Well, tell me what you like about himYou a turnt up little thotty, ain't no wife about itI'ma fuck her friends and send her back to Metro housin'"
89,TSU,Certified Lover Boy,2021,0.568,0.228,0.56,3.05e-06,0.39,-9.059,0.42,130.019,0.246,76,"[Intro: OG Ron C]Yeah, we backWhat's up, ladies?Swishahouse, babyWhat's up to all the ladies on the north side, south side, east side, west side?What's up in Bay City?What's up to all the ladies in Louisiana?What's up to all the ladies in Dallas, Austin, San Antonio?Marshall, Prairie View, it's going downWharton County, Texas City, H-Town, babyTSU ladies[Chorus]She moved out of state and shit done went left, she's seekin' forgivenessShe used to dance, but she want a loan to start up a businessHer daddy is not around, her mama is not aroundI watch her climb to the top of the pole and then get to slidin' downI make it rain in this bitch, I make it snow in this bitchShe tryna get out of the mix, shawty is goin' legitShawty is goin' legit, me, I'm supportin' this shitThis is a story, it came from my life and I'm just recordin' this shit[Verse 1]I'ma just give it to you direct, instead of me throwin' this shitYou know you important and shitYou know I'm supportin' this shitWe used to do pornos when you would come over but now you got morals and shitI got like four on the wrist and an adorable kidI got a Drac' in the studio, and I don't just mean that I'm in this bitchPlease make the most of this shitDon't just come close to some shitI give you this bread, you run me some headAnd then you go glow up a bit"
90,N 2 Deep,Certified Lover Boy,2021,0.507,0.0518,0.429,0.0,0.109,-7.726,0.326,91.0,0.0744,70,"[Part I][Verse 1: Drake]Oh yeah, yeahKept the Galleria open 'til ten for you and your friendsYou know how I spend in H-O-U-S-T-O-NI get too crazy, had a little baddinaWe stay good friends, we get too wavyAll I know is that when this cup ends, the next one beginsMy bae, you know me and you knew me back thenAnd you know how it goes when I see you againYou know I'm making my way to your endsAnd you know I need you to be there for me[Verse 2: Drake]You a little Post Oak babyYou a little forty-eight babyGot a little candy in her pocketShe gon' take off like a—You already know (Know, know, know, know)Dirtied up a cup, I'm on the NorthsideText you but I know you probably courtsideNo, I got to come and check the whole man, baby, hold tightI just touched the city with the G-block stainersAnd we got it adopted by some fifth ward strangersYou know what it means when I twist these fingersMe and you been on a first name basisWhy you think I hate it when you talk that Drake shit?Same reason that you never left me hangin'Same reason that I tried to make you famousSame reason that I tried to show you just who I was"
91,Pipe Down,Certified Lover Boy,2021,0.518,0.128,0.69,0.0,0.176,-6.15,0.107,77.837,0.59,75,"[Intro](I'm working on dying)Said you belong to the streets but the streets belong to meIt's like home to me (She belongs to the streets)It's like home to meI tatted your passport upNow it's lookin' like a arm sleeveJust know that was all me[Verse 1]And when you see Chanel, I wish that's how you saw meThat shit you tell Chanel, I wish that's how you called meThat raw shit, that honesty, yeahYou know I love you more than all them niggas put togetherAnd it's a lot of niggas' trust, I put the list togetherAnd it's a lot just to assume we're meant to be togetherYou gotta live that shit for real, you can't just say whateverYou could never tell nobody that you held me downIf it was ride or die then you should've been dead right now[Chorus]So I don't get how you're yelling at meHow much I gotta spend for you to pipe down? (Pipe down)How deep I gotta dig for you to pipe down? (Pipe down)All the things I've done up until right now (Right now)I need a thousand pages just to write it down (Write it down)Writing down these feelings, it's been overdue (Overdue)Don't know how many pens it's gonna take to get over youHow much I gotta pen for you to pipe down? (Pipe down)How deep I gotta dig for you to pipe down?"
92,Yebba’s Heartbreak,Certified Lover Boy,2021,0.476,0.967,0.161,0.0381,0.109,-11.665,0.0407,119.614,0.0908,84,
93,No Friends In The Industry,Certified Lover Boy,2021,0.84,0.0181,0.744,0.0,0.629,-4.751,0.113,83.737,0.171,73,"[Intro]No friends in the industryMy brothers been my brothers, man, you niggas ain't no kin to me, a fact (Woah)Yeah, you heard about me, you don't know me more than thatYeah I know I—Hey, hey, yeah[Chorus]No friends in the industryMy brothers been my brothers, man, you niggas ain't no kin to me, a fact (Woah)I was known for snappin' when I chat before the appStood on everything I said and never took it back (Woah)No friends in the industryI had to draw the line between my brothers and my enemies, a factNiggas love to start the beef, don't wanna keep it rapYeah, he hit us up and now we owe you something back[Verse 1]See, I was young angel but these niggas turned me evilYeah, I know I know you, but you really ain't my peopleYeah, I heard some people say they know 'em as my equalTruth be told, I son these niggas, girl, I don't compete with 'emAsk about The Boy and they gon' say they got the streets with himNiggas so offensive knowin' they don't have no defenseWhy they always act like we can fix it with a meeting?All that linking up, man, I'ma see ya when I see yaYeahYeahYeah, brothers been my brothers, manYou niggas ain't no kin and that's a fact (Ayy)And I'm like Sha'Carri, smoke 'em on and off the track (Aye)And you love that hoe, but me, I put her on her backYou get Drizzy on a track, he'll put you on the mapOh, it's like that? Hell yeah it's like that (Ayy)And I got a contract, it's a max (Ayy)SInce I got in contact, she attachedWhen I signed my first deal, that shit came through a faxThat should let you know how long I been out here runnin' laps(I been doin' this for a long time)"
94,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,2021,0.849,0.0635,0.424,0.0,0.0834,-9.579,0.324,145.887,0.153,83,"[Intro: Project Pat & 21 Savage]I gotta feed the streets, my pistol gon' bleed the streetsSki mask on my face, sometimes you got to cheatTo stay ahead in this bitch-ard (Gang), drank syrup like it's liquorStreet life'll have you catchin' up to God quicker (Yeah, gang)Sticker, AK-40 to your liverLet the chopper bang on you like a Blood or a Cripper (Gang)Flipper, so much bread, I'm a gymnastMade so much money off of dummies, off of dummies (Yeah, gang)[Verse 1: 21 Savage]I'm mister body catcher (Gang), Slaughter Gang soul snatcherAin't no regular F-150, this a fuckin' Raptor (Yeah, gang)No capper, street nigga, not a rapperChopper hit him and he turned into a booty clapper (Gang)Smith & Wesson, I'm 4L Gang reppin'We done baptizеd more niggas than the damn revеrend (Yeah, gang)Kappa Alpha, me and my gang, we do all the steppin'Who you checkin'? This FN shoot East to West End (Gang)[Verse 2: Drake]YeahI heard Papi outsideAnd he got the double-R droppy outsideChecked the weather and it's gettin' real oppy outsideI'ma drop this shit and have these pussies droppin' like some motherfuckin' fliesType of nigga that can't look me in the eyesI despiseWhen I see you, better put that fuckin' pride to the sideMany times, plenty times, I survivedBeef is live, spoiler alert, this nigga dies"
95,7am On Bridle Path,Certified Lover Boy,2021,0.724,0.225,0.531,0.0,0.11,-4.108,0.298,89.901,0.141,64,"[Intro]Yeah (Go Squad)AyyLook[Verse]I wish everyone could tell me exactly what they need from meThe first second they speak to me, I'm not with all the secrecySecretly beefin' me behind closed doorsBut playin' it peacefully for the streets to seeMy nigga, have some decencyDon't move like a putoCould at least keep it a buck like AntetokounmpoI made north of the border like Vito RizzutoThrowin' parties in Miami, they lovin' us muchoWith the ho ratio, I'm like David CarusoThеre's a mad shortage of peoplе givin' me kudosI been doin' this since T-Pain was pourin' us NuvoYou tell 'em I run the country, they'll say, ""True, though""Papi chulo, grippin' culoAnd I got the flows niggas steal like boot toesYou boys reachin' new lowsLettin' me take the rap for that Casper the Ghost shitWhile you findin' all of the loopholesYou niggas move too coldSee the watch collection and assume I got time'Cause of the ruby rose two-toneOr switch it to the one I call ""R.I.P. Nipsey""'Cause I swear to God the bezel got sixty of them blue stonesMaybe I'm gettin' too stonedCalacatta marble for my tombstoneHere lies a nigga that never lied in his new songOr any of his old songsThey sing them shits like folk songsKumbaya, boom-ba-yeKnow the owl stay on meBad bitches tryna come through and lay on meTryna get the earl grey on meBut I ain't really into talkin' namesOnly tee you're getting from me is one for the walk of shameHeart is on my sleeve and my body is in the hall of fameHigh fashion and my life is full of climaxesAnd my wishes come true without blowin' eyelashesUp in 'Bron crib, fishbowl wineglassesThat's how we passin' timeHundred thousand on the lineAt the table prayin' banker shows a natural nineIt never happens half the timeMy losing nights are still a vibeThat's the things I acceptYou over there in denial, we not neck and neckIt's been a lot of years since we seen you comin' correctMan, fuck a ""Respectfully,"" I just want my respectThey tried to label me mean, I say what I meanPeople that could've stayed on the teamThey played in-betweenClouds is hanging over you now, 'cause I'm reigning supremeSome of these niggas say what they mean, it ain't what it seemsHad to pull my niggas out the mud like I'm trainin' MarinesYou niggas hot to them little kids, you ain't famous to meTold you I'm aimin' straight for the head, not aiming to pleaseI could give a fuck about who designing your sneakers and teesHave somebody put you on a Gildan, you play with my seedTrust me, there's some shit you really gotta come see to believeThat's why your people not believers, they all leavin' yaThat's why you buyin' into the hype that the press feedin' yaYou know the fourth level of jealousy is called mediaIsn't that an ironic revelation?Give that address to your driver, make it your destination'Stead of just a post out of desperationThis me reachin' the deepest state of my meditationWhile you over there tryna impress the nationMind's runnin' wild with the speculationWhy the fuck we peacemakin', doin' the explanationsIf we just gon' be right back in that bitch without hesitation?But let me digress on behalf of the associationI'll play it cool with you, then mark a nigga like CopenhagenSee, they gettin' loose with the line like open cagesIn the La Ferrari, my emotions racin', dancin' out a condo, ocean bathin'Niggas textin' ""Bro,"" but we are not of no close relationI was down to give these niggas credit, but hold the paymentSomehow I'm the greatest in the game, to my own amazementThe greatest in the world, there's no debatin'You boys 'bout to wheel me to defeat like we rollerbladin'Far as the Drake era, man, we in the golden agesLook at the total wagesAnd look at the heroes fallin' from grace in their older agesIf we talkin' top three, then you been slidin' to third like stolen basesToss around Rollies with frozen facesThey used to tell me back in the day, ""Boy, you're going places""Never understood where I could really take it"
96,Race My Mind,Certified Lover Boy,2021,0.488,0.179,0.635,8.16e-06,0.156,-7.19,0.26,174.072,0.783,69,"[Verse 1]Just hung up the phone and ICould already tell that you're comin' home intoxicated, oohSo you better take your time with me'Cause I remember last time you wouldn't make love to meThen you fell fast asleep (I hope you niggas sleep)Wouldn't even talk to me, noSay— Say I'm so crazy, baby (I'm so crazy)[Chorus]I wanted you to race my mind, I got the keysPlease, for meSince you're comin' home intoxicated, ohFor me, pleaseI wanted you to race my mind, yeah[Verse 2]They said you got high as the skyUp all night just dancin', huhI hit you like, ""Please come home to me"" (Come home to me)But you're not understandin', noYou gon' make me beg, make me plead (Plead)I wanted you to race my mind, I got the keysI just figured you could make time for meSince you're comin' home intoxicated, oh, yeah"
97,Fountains (with Tems),Certified Lover Boy,2021,0.843,0.181,0.485,0.0675,0.107,-8.735,0.195,100.053,0.689,74,"[Verse 1: Drake]How do you know the way I feel?You got me losing my mind, ohTry to suppress my emotionsThey're bursting like fountains, babyThey take me up, they take me downI’m getting weak in my knees, oh[Chorus: Tems]I got nothing to admire, taste certainBaby, longing you make me feel somethingI got my eyes on you, pull down the curtainI'll be patient with you, no more fighting[Post-Chorus: Drake & Tems]Oh, babyCome in, come in, yeah, come inI cannot fathom this life without youWoah, oh, come in, come in, yeah, come inThis feels like home nowCome in and stay hereBabyBaby, babyBaby, baby[Verse 2: Tems]I feel you in my mindI want to dance tonightIt's in thе air tonight, yeah, yeah, yeahYou know it’s all your faultNo, I don't wanna say noYou'vе broken down the doorDon't make me go, no"
98,Get Along Better,Certified Lover Boy,2021,0.32,0.00645,0.466,0.0,0.133,-6.77,0.0374,177.693,0.338,72,"[Intro: Drake]UhThis might be too real, too real[Verse 1: Drake & Ty Dolla $ign]Hold me closer in theseTrying times, supposed to be mineBabyI need some help just like anyone elseHold me closer in theseTrying times, open your eyesBabyYou said you felt something for me (Talk to 'em)I don't know whenBased on the signals you sendBased on the way you apologizedWhen you came to see me and then (Then what?)You had the nеrve to defend (Dеfend what?)Mistakes that you made at the endYou said I was too investedAnd that's what had forced you to go and pretendI swear you crazySomeone that's close to you reached out to me just to see if we had made amends (Oh)[Chorus: Drake & Ty Dolla $ign]Trust me, this ain't 'bout revengeBut now I get along better with your friend (Woo)And it's wrong, I know (Know, know, know)But again (Ooh, yeah)Trust me, this ain't 'bout revengeI get along better with your friend (Oh)And it's wrong, I know, it's wrong, I know, oh"
99,You Only Live Twice (with Lil Wayne & Rick Ross),Certified Lover Boy,2021,0.519,0.118,0.851,0.0,0.178,-6.001,0.29,123.823,0.711,66,"[Intro]M-M—, M-M—[Verse 1: Rick Ross]No, I'm never gangbangin' in my blue ChucksMoney callin' so I threw the deuce upYeah, they plottin' on me but they gotta do somethin'Told my dawg two-somethin' just to shoot somethin' (M-M—)Left them niggas stretched out on the train tracksRather you than me, here come that paybackGot 'em lookin' for that paper that they can't taxYayo so clean, I told 'em call it, ""Ajax""Hialeah celebrated when Fidel diedPatti LaBelle, who knew that we would sell pies?Standin' on your own is when you realizeWhen all the lights go out, that's when you see the real guysBack to the real niggas glowin' in the dark (M-M—)Never perfect but you know a nigga heartA rich nigga that'll pull up to the parkGet on one knee and tell the kids that they are starsBullet wounds don't be covered by ObamaCareYour funeral was way too soon, that's if your mama thereReal niggas deserve to live twice (M-M—)Plastic fork and some fried rice[Verse 2: Drake]Yeah, two-point-two for the Rafael NadalDon't act like you're happy for me nowDon't act like you wasn't prayin' for catastrophic collapsesCatalog is immaculateStill runnin' the game, don't ask me about the practiceHo, you go on vacation, don't ask me about relaxin'Not sure if you know but I'm actually Michael JacksonThe man I see in the mirror is actually goin' platinumUnthinkable when I think of the way these niggas been actin'Yeah, I never did you nothin' and you play like we family, huh?Next thing, you wanna shoot me down, it can't be loveNot sure where you was tryna send it, it can't be upThat day you sounded like a bitch, you fancy, huh?Damn, how can I forgive like this?I gotta dead a lot of shit just to live like thisI had to fuck a lot of girls to get a kid like thisI had to get a lot of cribs to get a crib like this, niggaThat's why I'm movin' all elusiveThese boys on they last resort and it's givin' us all inclusiveBeen spazzin' since CB was chunkin' up the deuces, niggaYour shit was boo-boo, excuses, excuses, nigga"
100,IMY2 (with Kid Cudi),Certified Lover Boy,2021,0.59,0.402,0.493,0.00504,0.129,-8.704,0.0367,150.026,0.0498,68,"[Intro: Juice WRLD]I think that's what life is aboutTruly findin' yourselfAnd then closin' your eyes and dyin' in your sleep[Verse 1: Kid Cudi & Drake]Lifted are my days, my dreams are vivid colors (Woo)The jet is low, they make me take your trips, we fly by (Let's go)No stress is on my brain, no worries here, I'm chosen (Yeah, yeah)Made another way, my nigga, watch me go shineWhen I close my eyes my world comes alive (Yeah)La-la-la-la-la-laPeople grow, good times sometimes (Nigga)Real niggas in life survive (Yeah)And I'm sailing to the edge of my mindNigga, double up life (Yeah, yeah)Set the tempo, got a nympho on my line (Yeah-yeah)Said she wanna unwind (She do)And I'm focused on gettin' moreThey too stuck on gettin' even, I'm ready for itWe should really be together more'Cause I know we got some time but I'm never sure[Chorus: Kid Cudi]Catch me ten-toes in the limelight (Yeah)Fuck the world up, on my life, right (Nigga)Sayin' I'm the one, she lie, lieShe checkin' for me, now baby come in my dreams, my dreams (Yeah)Woah, woah, woah, woah, woah, woahHey-ayy, hey-ayy, hey-yeahWoah-woah, woah-woah, woah, woah, woah, woah"
101,F*****g Fans,Certified Lover Boy,2021,0.783,0.213,0.416,0.0,0.103,-9.84,0.135,87.073,0.165,66,
102,The Remorse,Certified Lover Boy,2021,0.473,0.812,0.53,6.92e-06,0.227,-8.506,0.249,74.732,0.637,61,"[Intro]Yeah (Huh)Yeah[Verse 1]Look, me and Lil Sandra bagging CDs in the bubble wrapPeople recognize me from the TV, but I'm done with thatPeople don't wanna see me succeed, this shit come with thatEven when I come back, I don't know if it's me that's gonna be coming backSoon as I left, I had to make peace with thatDropped out of school 'cause nobody was teaching thatThe Best Western is where a nigga was sleeping atDaemen College booking me to pull up and speak the factsEven if they make a movie 'bout us, this shit'll be hard to re-enactDislocated shoulder, it's hard to be always reaching backAll these IOU's, it's hard for me to be keeping trackFriends that dedicated they life to just keepin' me intactHard to pay 40, pay Noel, pay Niko backAll the nights I needed to vent to someone and CJ satAll the nights Chubbs was pulling up where I need him atAll the times Mark was making sure that my luggage packedOr times he had to double back (Oh-oh, oh-oh)I mean, even with his salary, you can't put no prices on thatThere is no salary cap, there is no payin' him back, for realI wonder what it could've been if I had snakes in the mixActually, I never wanna know 'cause we made it like thisShots gotta fly either way, now I make it or missOvertime hours all good, we take it in shiftsWhat would you do if it wasn't this? That's a hard oneThe finish line is where I like to pull up and start fromPain is just a place that I go to get the bars fromAnxiety's a drug that I use to get the job doneDelusional's a space I like to think that I'm far fromMy son is the one thing I hate to be apart fromBet against me, don't know where they getting the odds fromI know that when it's done, I'm going wherever God's fromBut I still don't know where I get the calm from(Where I get the calm from) Yeah"
